name,family,dominant_interaction,mass_mev,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,log_base_N,phase_fraction,theta_rad,theta_deg,complex_x,complex_y
B0,meson,weak,5279.72,1.2766306161220584e+24,1.517e-12,1936648644657.1626,12.287050836244319,phi,58.79319380585029,0.7931938058502865,4.983783666664378,285.54977010610315,0.2680753348827296,-0.9633979524721403
Bs0,meson,weak,5366.93,1.297717900302281e+24,1.516e-12,1967340336858.258,12.293879496489762,phi,58.82586875369541,0.8258687536954099,5.189086418877716,297.31275133034757,0.4588473072874212,-0.888515136953267
Upsilon_1S,meson,mixed,9460.4,2.2875145425820157e+24,1.2190000000000001e-20,27884.802274074773,4.445367569337434,phi,21.270959201319975,0.2709592013199753,1.7024868725787845,97.54531247519111,-0.13131023735654151,0.9913413244515578
W,boson,weak,80369.2,1.9433186099497117e+25,3.16e-25,6.140886807441088,0.7882310922760309,phi,3.7716636798865,0.7716636798865002,4.84850589554699,277.79892475914005,0.13569697954773882,-0.9907503872023571
Z,boson,weak,91188.0,2.204916030072395e+25,2.64e-25,5.820978319391123,0.7649959817301074,phi,3.660484327279183,0.6604843272791832,4.149945420782957,237.77435782050594,-0.5332549283709824,-0.8459545976989891
Higgs,boson,mixed,125200.0,3.027322531090317e+25,1.6000000000000002e-22,4843.716049744508,3.685178675832777,phi,17.633476656441417,0.6334766564414167,3.98025122019396,228.05159631891001,-0.6684611141600902,-0.7437470933427913
top,quark,weak,172560.0,4.172482236141734e+25,3.3e-25,13.769191379267722,1.1389084362748172,phi,5.449644940306143,0.4496449403061433,2.825202482379202,161.8721785102116,-0.9503647623709308,0.31113794118307764
muon,lepton,weak,105.6583755,2.5548081529516867e+22,2.1969811e-06,5.612865226160765e+16,16.74918461424223,10,16.74918461424223,0.7491846142422283,4.707265760571775,269.7064611272022,-0.005123197401093733,-0.9999868763380795
tau,lepton,weak,1776.93,4.2965976239379536e+23,2.903e-13,124730229022.9188,11.09597171977255,10,11.095971719772548,0.09597171977254781,0.603008099579629,34.54981911811721,0.8236333825952055,0.567122606739301
neutron,baryon,weak,939.56542194,2.2718590824858967e+23,878.4,1.9956010180556114e+26,26.300073716822478,10,26.300073716822475,0.3000737168224745,1.8854187686097397,108.02653805609083,-0.30945746819865794,0.9509132848877844
Lambda,baryon,weak,1115.683,2.6977094915770273e+23,2.617e-10,70599057394570.8,13.84879890259473,10,13.84879890259473,0.84879890259473,5.333160793533365,305.5676049341028,0.5816631495091976,-0.8134297637184423
Sigma_plus,baryon,weak,1189.37,2.8758838648585384e+23,8.018e-11,23058836828435.76,13.362837396118582,10,13.36283739611858,0.36283739611858046,2.279774596187564,130.62146260268895,-0.6510585893807129,0.7590274785497533
Xi_minus,baryon,weak,1321.71,3.195880561156057e+23,1.639e-10,52380482397347.77,13.719169493736818,10,13.719169493736816,0.7191694937368158,4.518675196418942,258.9010177452537,-0.1925045357884272,-0.9812960836062081
Omega_minus,baryon,weak,1672.45,4.043966107924921e+23,8.21e-11,33200961746063.605,13.521150664275083,10,13.521150664275083,0.5211506642750834,3.274486196600085,187.61423913903002,-0.9911826413026716,-0.1325027229163964
Delta_1232,baryon,strong,1232.0,2.978962746248619e+23,5.5999999999999996e-24,1.6682191378992266,0.22225309913704822,10,0.22225309913704822,0.22225309913704822,1.3964574069730293,80.01111568933736,0.17345711640028355,0.9848414231591289
